id,domain,prior_severity,current_status,current_severity,residual_risk,evidence
T-PRV-02,Privacy & Telemetry (T-PRV),High,Open,High,"High — right-to-erasure contract is violated for call/push metadata; identifying push payloads (caller name, connectionId, pairedDeviceId, tokens) persist indefinitely in top-level collections after account deletion.","functions/src/callables/voipPush.ts:57,78 — writes to TOP-LEVEL firestore.collection('voip_outbound')/('fcm_outbound') (not users/{uid}/...), with uid + cleartext payload + tokens, only createdAt, NO expireAt ; functions/src/accountDeletion.ts:93-131 — eraseUserCloudData walks only provider_account_secret_refs, users/{uid}, workspaces/workspace-{uid}, and Storage prefixes; grep for voip|fcm|outbound in this file returns NONE, so top-level push queues are never deleted ; firestore.indexes.json:1348-1830 — TTL fieldOverrides (ttl:true on expireAt) exist ONLY for stripe_webhook_events, pop_nonces, _rate_limits, hermes_gateway_device_sessions; voip_outbound/fcm_outbound (indexed at 1278,1320) have NO TTL override. Addendum-cited line 1878-1886 does not exist (file is 1831 lines) ; git diff 5416ef780 HEAD -- functions/src/accountDeletion.ts firestore.indexes.json (push paths) — no push-queue erasure or TTL added; REMEDIATION.md:25 claim 'stamp expireAt' / 'account deletion enumerates root push queues' is unsupported by code"
T-PRV-03,Privacy & Telemetry (T-PRV),High,Open,High,"High for any build with a DSN (internal/CI/release): default breadcrumbs (network URLs+params, lifecycle, logs) and exception context can carry plaintext prompts/paths/peer IDs/tokens to Sentry SaaS with no consent UX and no client-side scrubber.","OpenBurnBarMobile/App/AppDelegate.swift:60-79 — SentrySDK.start sets dsn/environment/tracesSampleRate=0/enableAutoSessionTracking=true but NO beforeSend, NO beforeBreadcrumb, NO explicit sendDefaultPii=false; comment lines 50-52 state 'There is no additional in-app consent gate' ; AgentLens/App/AgentLensApp.swift:1176-1195 — same: no beforeSend/beforeBreadcrumb/sendDefaultPii=false; line 1192 still seeds the user id from NSFullUserName() (real account name) before hashing ; functions/src/sentry.ts:42,45,59 — by contrast SERVER Sentry sets sendDefaultPii:false, a beforeSend sanitizer, and beforeBreadcrumb URL-token scrubbing — confirming the client/server scrubbing asymmetry the threat describes ; git diff 5416ef780 HEAD on both client Sentry blocks — EMPTY (0 changes); addendum still lists T-PRV-03 as the #5 live High risk"
T-PTR-03,"Transport & Pairing (T-TRN, T-PTR)",High,Partial,High,"Asymmetry is mostly fixed (phone now pins host key, mirroring the Mac controller-key pin), but the first-pin is still trust-on-first-use with safety-number confirmation default-off; a backend that serves a swapped key to a never-yet-pinned device is accepted on first contact.","OpenBurnBarCore/Sources/OpenBurnBarComputerUseCore/IrohHostKeyPinStore.swift:219-264 — IrohHostKeyKeychainPinBacking persists the pin to kSecClassGenericPassword, kSecAttrAccessibleWhenUnlockedThisDeviceOnly, not synced; survives restart ; OpenBurnBarMobile/Services/IrohRelay/FirestoreIrohPairingPublicKeyProvider.swift:11-19,57 — doc + code: in-memory cache is now only a per-session fast path OVER the persistent pin, never a substitute ; OpenBurnBarMobile/Services/ComputerUse/AgentWatchOverlaySingleton.swift:113 — the phone-control overlay dial path also fetches via the pinned default provider (FirestoreIrohPairingPublicKeyProvider.shared) ; OpenBurnBarCore/Sources/OpenBurnBarComputerUseCore/IrohHostKeyPinStore.swift:115-120 — pin scoped by uid|roleId so a swap to another account/role cannot match"
T-SC-03,Supply Chain & CI (T-SC),High,Open,High,"Compromise/coercion of @Ajnunezg or a token still merges malicious workflow/rules/release with self-approval. The current-state-addendum (line 30) cites '.github/CODEOWNERS:29-58' with a second CODEOWNER — that is NOT present in the actual file and is an unsupported claim. Live branch-protection requiring code-owner review remains Unverifiable, but even ideal branch protection cannot synthesize a second reviewer that CODEOWNERS does not name.",".github/CODEOWNERS:4 — `* @Ajnunezg` (sole default owner); file is only 22 lines ; .github/CODEOWNERS:18 — `.github/workflows/ @Ajnunezg` (CODEOWNERS owns its own workflow surface, self-review) ; .github/CODEOWNERS:21 — `firestore.rules @Ajnunezg` single owner; no co-owner anywhere ; git diff 5416ef780 HEAD -- .github/CODEOWNERS returns EMPTY (unchanged)"
T-TOOL-01,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,High,Open,High,High under workspace/all/YOLO presets — the in-CLI behavior remains a residual agency boundary BurnBar cannot enforce; a model the CLI obeys (incl. via injection) acts within the CLI's flag-granted authority.,"AgentLens/Services/CLIBridge/CLIArgumentBuilder.swift:29-178 — claude/codex/droid/forge/antigravity/cursor are spawned with capability-derived flags only; once spawned BurnBar cannot intercept individual tool calls. ; AgentLens/Services/CLIBridge/CLIArgumentBuilder.swift:57-64 — default fallback is read-only/plan when no active grant (the documented default-deny). ; git diff --stat 5416ef780 HEAD on CLIArgumentBuilder.swift / CLIProcessStreamRunner.swift — builder unchanged; runner change is only silent-failure telemetry (CLIProcessStreamRunner.swift:218-227,255-261,348-356), no policy interposition added."
T-TOOL-03,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,High,Open,High,High for long-running YOLO CLI runs — a revoked grant does not stop an already-spawned agent that keeps its dangerous flags to completion.,"AgentLens/Views/Chat/ChatSessionController.swift:382-389 — revokeDesktopControl only flips grant-store state and marks the local grant .revoked(); it does not terminate any spawned Process. ; AgentLens/Services/CLIBridge/OpenAICompatibleChatGatewayClient.swift:130-135 — the broker lane re-checks grantStillActive() per tool call (kill on revoke for the in-app broker), but the external-CLI lane has no equivalent mid-run grant re-check. ; git diff --stat 5416ef780 HEAD -- ChatSessionController.swift — empty; CLIProcessStreamRunner.swift change is telemetry-only, no added kill-on-revoke."
T-TOOL-04,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,High,Open,High,Medium — degraded local emergency stop in the shipped MAS build; remote/coordinator kill switch is the only kill path there.,"AgentLens/Services/ComputerUse/ComputerUsePanicHaltCoordinator.swift:1 — entire file still guarded by #if canImport(AppKit) && !DISTRIBUTION_MAS; hotkey + lock-screen kill paths (:72-94) absent from the MAS app. ; AgentLens/Services/ComputerUse/ComputerUseSessionCoordinator.swift:280-281 — updateKillSwitch remains reachable (remote-config/coordinator kill path), so a software kill switch persists in MAS. ; AgentLens/Services/CLIBridge/OpenAICompatibleChatGatewayClient.swift:212-225 — MAS build (#else) also disables the system Computer Use lane (returns denied), reducing the MAS attack surface."
T-TOOL-05,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,High,Open,High,High when workspaceWrite/shell granted — a poisoned file/tool output the CLI ingests can steer a write/shell-granted agent with no BurnBar tagging or gate.,"AgentLens/Services/CLIBridge/CLIArgumentBuilder.swift:248-264 — combinedPrompt wraps only the chat user message/history in <UNTRUSTED_CONTENT>; files, tool results, and web content the CLI agent itself ingests are never tagged. ; AgentLens/Services/CLIBridge/CLIBridge.swift:100,118,198,403,491,522,553,583,612 — every CLI launch uses combinedPrompt, so the only wrapped surface is the in-app chat turn; the CLI's own ingestion is outside BurnBar's interposition. ; git diff --stat 5416ef780 HEAD on CLIArgumentBuilder.swift — empty."
T-TRN-01,"Transport & Pairing (T-TRN, T-PTR)",Critical,Partial,High,"First-contact (cold-start, no pin yet) cloud MITM still succeeds by default: IrohHostKeyPinEnforcementFlag.defaultEnabled=false (IrohHostKeyPinStore.swift:205) so .pinnedFirstUse admits without out-of-band safety-number confirmation; the compare UI is not wired. Once a pin exists, substitution is refused. firestore.rules:2659-2666 server-own the directory but do not stop a compromised backend (the actual adversary). High audit focus on first-contact.","OpenBurnBarCore/Sources/OpenBurnBarComputerUseCore/IrohHostKeyPinStore.swift:124-153 — verifyOrPin pins first key, returns .mismatch (always refused) for a differing key, fail-closed on Keychain read/write failure ; OpenBurnBarMobile/Services/IrohRelay/FirestoreIrohPairingPublicKeyProvider.swift:58-83 — fetch routes through verifyOrPin before returning/caching; .mismatch throws hostKeyPinMismatch; cache set only after admit (line 82) ; OpenBurnBarMobile/Services/IrohRelay/HermesIrohRelayTransport.swift:378-389 — the pinned publicKey is the same key fed to publisher.fetchAndVerify(...publicKey:) that checks the Ed25519 pairing-record signature, so a swapped key is rejected before the dial ; OpenBurnBarCore/Tests/OpenBurnBarComputerUseCoreTests/IrohHostKeyPinStoreTests.swift:61-75 — testMismatchedAdvertisedKeyIsAlwaysRefused proves the keystone refusal; 10 tests cover first-use/re-pair/malformed/fail-closed/uid-scope"
T-TRN-02,"Transport & Pairing (T-TRN, T-PTR)",High,Open,High,"A compromised backend/Admin SDK can still inject a controllers/{attackerNodeId} doc (handler reachability) or delete docs (owner DoS). Admitted attacker is still gated downstream by PhoneControlAuthorityValidator + E2E HermesRelayCrypto, so impact is handler reachability + DoS, not command injection. Mitigation depends on deployed rules + callable enforcement (Unverifiable from repo for the live side).","AgentLens/Services/IrohRelay/FirestoreIrohInboundPeerAllowlist.swift:16-29 — allowlist is read straight from Firestore iroh_pairing/{conn}/controllers; cloud-authoritative, no local/out-of-band confirmation ; AgentLens/Services/IrohRelay/HermesIrohRelayHostClient.swift:292-305 — non-allowlisted peer rejected only after accept; default-deny on empty set via IrohInboundPeerPolicy.allows ; OpenBurnBarCore/Sources/OpenBurnBarIrohRelay/IrohInboundPeerPolicy.swift:18-24 — default-deny: allows() returns false unless canonical NodeId is in the set ; firestore.rules:2769-2774 — controllers docs are Admin-SDK-only (allow create/update/delete: if false), callable-gated; blocks stolen owner session but not a compromised backend"
T-TRN-03,"Transport & Pairing (T-TRN, T-PTR)",High,Open,High,"On-path adversary can cheaply force the more-observable Firestore path for control-plane + CLI streams; payload stays E2E-sealed so this is metadata exposure + degraded P2P directness, not disclosure. No rate-based downgrade alarm exists in shipped code.","OpenBurnBarMobile/Services/Hermes/HermesCompositeRelayTransport.swift:57-61,90-94 — any op except .chatCompletions silently falls back iroh->Firestore on a generic dial failure ; OpenBurnBarMobile/Services/Hermes/HermesCompositeRelayTransport.swift:119-121 — allowsFirestoreFallback only hard-fails the selected-model chat path; control-plane unary + CLI streams still auto-fall-back ; OpenBurnBarMobile/Services/Hermes/HermesCompositeRelayTransport.swift:134-148 — each fallback is audited (.fallbackToFirestore) but there is no in-code fallback-RATE alarm/threshold ; git diff 5416ef780 HEAD -- OpenBurnBarMobile/Services/Hermes/HermesCompositeRelayTransport.swift — 0 lines changed"
T-AI-03,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,Medium,Partial,Medium,"Medium — durable cross-session influence on agent behavior; partially mitigated only on the wrapped retrieval path, not the oracle path.","AgentLens/Services/ContextBuilder.swift:4-29 — LLMSafeContent.wrapUntrusted exists and is intended for RAG chunks/logs/transcripts/CU extracts, with delimiter-breakout defang (defangSentinel); retrieval pack is wrapped at formatPack (ChatSessionController.swift:1620 retrievalPack). ; AgentLens/Views/Chat/ChatSessionController.swift:1609-1614 — the SAME indexed content still reaches the model UNWRAPPED via the oracle path, so write-time wrapping is bypassed there. ; No write-time validation/provenance trust tier/poisoned-chunk quarantine found; LogParser ingestion has no trust tier (no diff in the retrieval/oracle path since baseline)."
T-AI-04,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,Medium,Open,Medium,"Medium — internal/cloud-metadata exfiltration into model context via 302/meta-refresh/JS redirect, private-resolving hostnames, or browser_click to internal links; browser_extract output is wrapped (limits injection) but not data exfiltration.","OpenBurnBarDaemon/Sources/OpenBurnBarDaemon/ComputerUse/ComputerUseRunCoordinator.swift:785-786 — OpenBurnBarBrowserTargetPolicy.validatedURL is applied only to the initial goto URL, then driver.goto forwards it. ; OpenBurnBarDaemon/Sources/OpenBurnBarDaemon/ComputerUse/OpenBurnBarPlaywrightDriver.swift:241-247 — goto forwards the URL with no post-navigation host re-check, no redirect/JS-nav re-validation, no resolved-IP (post-DNS) enforcement. ; git diff --stat 5416ef780 HEAD on ComputerUseRunCoordinator.swift and OpenBurnBarPlaywrightDriver.swift — both empty."
T-AI-06,Agentic & Tools (CLI / oracle / Computer Use) — threat families T-AI and T-TOOL,Medium,Open,Medium,Medium — API keys/tokens in transcripts/RAG/file-reads are sent verbatim to the model provider; provider retention is deployment-dependent and Unverifiable from repo.,"AgentLens/Services/CLIBridge/CLIProfileStreamFailoverRunner.swift:260 — CLILaunchRedactor.redactSensitiveData is applied to log DISPLAY detail only, not to the prompt payload sent to providers. ; AgentLens/Services/CLIBridge/CLIArgumentBuilder.swift:248-264 — combinedPrompt wraps user content as untrusted but transmits it verbatim; no secret redaction before model send. ; No redaction step found on the chat prompt assembly / provider-call path (grep for redact in CLIBridge only hits the failover log redactor and an auth-token display helper)."
T-AND-01,Android platform (T-AND),Medium,Open,Medium,"Unchanged from baseline: HIGH on a rooted/forensic device (Keystore key is not StrongBox- or user-auth-bound, so an attacker who can run code as the app or extract the TEE-software key unwraps the prefs blobs and recovers the vault/Signal/relay private keys -> reads all cloud chat); LOW on a stock locked device. allowBackup=false + FLAG_SECURE remain the only at-rest controls.","android/app/src/main/java/com/openburnbar/data/cloud/CloudVaultCrypto.kt:1206-1221 — AndroidLocalSecretBox.secretKey() builds an AndroidKeyStore AES-GCM key with ONLY setBlockModes(GCM)+setEncryptionPaddings(NONE)+setRandomizedEncryptionRequired(true); NO setUserAuthenticationRequired, NO setIsStrongBoxBacked, NO setUnlockedDeviceRequired ; android/app/src/main/java/com/openburnbar/data/cloud/CloudVaultCrypto.kt:1070,1177 — EC private key and 32-byte vault key are stored as base64 AndroidLocalSecretBox.encrypt(...) values in plain getSharedPreferences (mode 0), i.e. wrapped-blob-in-SharedPreferences ; android/app/src/main/java/com/openburnbar/data/hermes/relay/HermesRelayKeyStore.kt:176-187 — relay wrappingKey() KeyGenParameterSpec likewise sets only GCM/padding/keySize=256, no user-auth/StrongBox; secrets persisted in 'hermes_relay_keys' SharedPreferences (line 194) ; android/app/src/main/java/com/openburnbar/data/cloud/AndroidSignalIdentityKeyStore.kt:39-57 — Signal identity private key wrapped by the same non-auth AndroidLocalSecretBox and stored in SharedPreferences"
T-AND-02,Android platform (T-AND),Medium,Partial,Medium,"MEDIUM — any caller not covered by the app-layer HermesProtocol.validatedBaseURL check (an SDK, image loader, or future code path) reaching a host outside the deny list can still issue plain HTTP on a hostile network -> interception/injection. Backend traffic is protected; LAN-direct and arbitrary third-party hosts are not.","android/app/src/main/res/xml/network_security_config.xml:33 — base-config still cleartextTrafficPermitted=""true"" (kept for the RFC1918 LAN-direct feature) ; android/app/src/main/res/xml/network_security_config.xml:40-53 — backend/control-plane hosts (googleapis/firebase*/cloudfunctions/run.app/web.app/gstatic/trycloudflare) hard-denied cleartext, includeSubdomains=true ; android/app/src/main/res/xml/network_security_config.xml:13-16,26-28 — comment confirms NSC cannot express RFC1918 CIDR so OS-level LAN-only scoping is impossible here; LAN-direct TLS migration tracked but unimplemented"
T-AND-04,Android platform (T-AND),Medium,Partial,Medium,"MEDIUM, narrowed to readiness/single-peer cases — a Firestore writer who supplies an unknown-sender envelope while the recipient has only one trusted sender (genuine single-peer OR a transient escrow_devices fetch failure) still gets the unauthenticated legacy sealedPayload decoded. Forged/stripped/relocated sender blocks always fail closed.","android/app/src/main/java/com/openburnbar/data/cloud/SignalAtRestFallbackPolicy.kt:38-49 — forged-sig (SenderSignatureInvalid) + stripped-block (SenderAuthMissing) + binding-mismatch (IllegalArgumentException) fail closed; SenderNotTrusted is legacy-eligible iff !senderSetComplete (unchanged) ; android/app/src/main/java/com/openburnbar/data/assistants/CLIAgentMissionDispatcher.kt:985,999 and AssistantChatHistoryStore.kt:818,832 — both callers still derive senderSetComplete = trustedSenderPublicKeys.size > 1 (coarse readiness proxy, not 'published set complete') ; android/app/src/main/java/com/openburnbar/data/cloud/AndroidCloudVaultSignalPayloads.kt:143-146 — trustedSenderPublicKeys() wraps atRestRecipients in runCatching{...}.getOrNull(); a transient escrow_devices fetch failure silently returns just the local identity (size==1) -> senderSetComplete=false -> legacy fallback stays eligible ; android/app/src/test/java/com/openburnbar/data/cloud/CloudVaultSignalSenderAuthTest.kt:198-220 — unit tests assert forged/stripped/binding fail closed and SenderNotTrusted is allowed only when senderSetComplete=false"
T-ATT-02,Attachments & Media (T-ATT family) — Mercury iroh blob transfer + Hermes Gateway attachment paths,Medium,Open,Medium,"Inbound Mercury media on iOS persists as plaintext in Caches with only default Data Protection; recoverable from an unlocked/jailbroken device or backup. Inbound is also unbounded (no iOS capability gate / byte budget). Note: the user-picked / agent-import path (HermesAttachmentLoader.enforceSafeAttachmentForAgentImport) is hardened, but that is a different path and does not cover Mercury blob receive.","OpenBurnBarMobile/Services/Media/iOSFileTransferService.swift:138-208 — handleAdvertise fetches the blob and records the URL only; no capabilityGate, no sealReceivedFileAtRest, no applyInboundQuarantine (contrast Mac at MacFileTransferService.swift:391,420-423) ; OpenBurnBarMobile/Services/Media/iOSFileTransferService.swift:105-111 — init takes only service + settingsProvider; no capabilityGate and no frameSealKeyProvider are wired on iOS ; OpenBurnBarMobile/Services/Media/MediaFileTransferServiceFactory.swift:22-29 — inbox is Library/Caches/Mercury/MediaInbox with no .fileProtection attribute applied anywhere ; OpenBurnBarMobile/Services/Media/MediaSealSessionEstablisher.swift:23 — a seal establisher exists but is not consumed by the iOS Mercury receive path"
T-ATT-03,Attachments & Media (T-ATT family) — Mercury iroh blob transfer + Hermes Gateway attachment paths,Medium,Open,Medium,"If the iroh P2P/relay path is observable (or relayed), filename/mime/size metadata is exposed. Confidentiality depends entirely on the transport layer, not on a sealed manifest. Low-to-medium real-world impact given iroh QUIC encryption, but the metadata is not bound or hidden at the application layer.","OpenBurnBarCore/Sources/OpenBurnBarCore/SharedModels/HermesRealtimeRelayTypes.swift:1712-1718 — manifest carries plaintext filename, mime, size, peerDeviceId ; AgentLens/Services/Media/MacFileTransferService.swift:210-220 — the manifest is embedded directly in frame.media.attachment of the .mediaBlobAdvertise frame with no per-field sealing ; OpenBurnBarMobile/Services/Media/iOSFileTransferService.swift:245-255 — iOS send builds the same plaintext-manifest advertise frame ; crates/openburnbar-iroh/src/lib.rs:44 — transport confidentiality relies on iroh QUIC P2P; the trust doc's 'never readable by server' claim for filename/size holds only at the iroh layer, not via manifest sealing"
