"id","title","category","framework_mapping","component","data_flow","asset","threat_actor","preconditions","attack_path","impact","likelihood","severity","existing_controls","gaps","residual_risk","detection","tests","evidence","owner","priority","cure53_relevance"
"T-PRV-01","VoIP/call push leaks cleartext caller display name + call graph to Apple & Google","LINDDUN Disclosure + Identifying; STRIDE Information Disclosure","STRIDE; LINDDUN","functions/src/callables/voipPush.ts:39-87, apnsSender.ts:141-221, fcmAndroidSender.ts:57-106","Cloud<->APNs/FCM/Sentry/search-index","Metadata, push tokens, call graph, logs, crash reports","Push/analytics sub-processor (Apple/Google/Sentry) or curious operator","Access to push payloads / crash SaaS / Firestore metadata / query logs","triggerVoIPCall writes voip_outbound/fcm_outbound with cleartext displayName/caller_name + stable callId/connectionId/pairedDeviceId; APNs+FCM sub-processors receive and can log them, building a social/device graph over time","High","Medium-High","High","Entitlement gate; App Check; doc admits the leak","Display name unnecessary for wake-up; connection_id/paired_device_id are stable correlators","High; every call exposes caller identity + persistent device link to two external processors","DLP on push payloads; Sentry event review; log-field audit; search-index access logs","See security-test-plan.md (T-PRV); automated regression recommended","functions/src/callables/voipPush.ts:39-87, apnsSender.ts:141-221, fcmAndroidSender.ts:57-106","Backend (Privacy)","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-PRV-02","Push-queue root collections never deleted on account erase, no TTL","LINDDUN Non-compliance (right-to-erasure) + Disclosure; GDPR Art.17","LINDDUN; GDPR","functions/src/callables/voipPush.ts:57,78, accountDeletion.ts:112-113","Cloud<->APNs/FCM/Sentry/search-index","Metadata, push tokens, call graph, logs, crash reports","Push/analytics sub-processor (Apple/Google/Sentry) or curious operator","Access to push payloads / crash SaaS / Firestore metadata / query logs","eraseUserCloudData walks only users/{uid}+workspaces+secret_refs; voip_outbound/fcm_outbound are TOP-LEVEL with uid+cleartext displayName/callId/connectionId/pairedDeviceId/tokens and have no TTL; persist indefinitely after account deletion","High","Medium-High","High","Default-deny client reads; terminal-state docs not re-read","No TTL; no deletion in eraseUserCloudData; no scheduled purge","High; erasure contract violated for call metadata; unbounded retention of identifying push payloads","DLP on push payloads; Sentry event review; log-field audit; search-index access logs","See security-test-plan.md (T-PRV); automated regression recommended","functions/src/callables/voipPush.ts:57,78, accountDeletion.ts:112-113","Backend (Privacy)","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-PRV-03","Client crash reports (iOS+macOS) ship to Sentry with no scrubber/consent","LINDDUN Disclosure + Unawareness; STRIDE Information Disclosure","STRIDE; LINDDUN","OpenBurnBarMobile/App/AppDelegate.swift:53-85, AgentLens/App/AgentLensApp.swift:1168-1202","Cloud<->APNs/FCM/Sentry/search-index","Metadata, push tokens, call graph, logs, crash reports","Push/analytics sub-processor (Apple/Google/Sentry) or curious operator","Access to push payloads / crash SaaS / Firestore metadata / query logs","Client Sentry started with no beforeSend/beforeBreadcrumb/sendDefaultPii=false; default breadcrumbs (network URLs+params, lifecycle, logs) + exception context can carry plaintext prompts/paths/peer IDs/tokens to Sentry SaaS; no consent UX; macOS user-id seed uses real name","High","Medium-High","High","tracesSampleRate=0; DSN absent in OSS builds; server Sentry scrubbed","Client/server scrubbing asymmetry; no client beforeSend; no consent UX","High for internal/CI-DSN builds; uncontrolled PII/prompt egress to third-party processor","DLP on push payloads; Sentry event review; log-field audit; search-index access logs","See security-test-plan.md (T-PRV); automated regression recommended","OpenBurnBarMobile/App/AppDelegate.swift:53-85, AgentLens/App/AgentLensApp.swift:1168-1202","Backend (Privacy)","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-PTR-03","iOS host-pairing-key in-memory TOFU enables cloud-MITM dial redirection","STRIDE:Spoofing/Tampering; LINDDUN-Detectability","STRIDE; LINDDUN","FirestoreIrohPairingPublicKeyProvider","Device pairing & trusted-device promotion","Device trust graph, pairing records, vault wraps","Malicious cloud/admin or social-engineering pairer","Firestore write (admin) or victim approving a pending device / first-pairing TOFU window","Cloud is untrusted. Phone verifies the Mac's signed iroh NodeAddr against iroh_pairing_keys/host fetched from Firestore and cached in-memory only (no Keychain pin/safety code/persistence). A backend serving a swapped host key to a cold-start session makes the phone accept an attacker-signed NodeAddr and dial an attacker NodeId.","High","Low","High","Defense-in-depth: control intents still gated by Mac-side controller pin + Signal at-rest sealer, so this is transport MITM/redirection not direct command injection. Host key is server-only-write at rules layer (but cloud itself is the threat here).","Asymmetric trust: Mac->phone controller key is Keychain-pinned; phone->Mac host key is not pinned/persisted.","Relay/transport interception, traffic analysis, fallback coercion on first/cold pairing.","high_risk_action_nonces, escrow approval audit events; pairing-record write audit","See security-test-plan.md (T-PTR); automated regression recommended","FirestoreIrohPairingPublicKeyProvider","Identity/Pairing","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-SC-01","Mutable action tags enable CI compromise of build/release","STRIDE:Tampering / SSDF PW.4,PO.3 / SLSA build","STRIDE; SSDF; SLSA","fast-feedback.yml:478; codeql.yml:129; security-pr.yml:199; nightly-e2e.yml:110,142","Repo<->CI<->prod deploy / artifact registry","Build/release artifacts, CI secrets, deploy credentials","Supply-chain attacker, malicious PR, or insider operator","Ability to land a PR, compromise an action/dep, or operator access","Upstream owner or tag-mover repoints @stable/@v2/@v4/@v0.x to malicious commit; executes in CI with repo token.","High","Low","High","Most actions SHA-pinned; security/test lanes read-only perms.",".github/dependabot.yml DOES cover the github-actions ecosystem (weekly bump PRs) but Dependabot bumps a mutable tag to a newer tag and does NOT convert refs to SHA pins, so mutable refs persist between bumps — SHA-pin for tamper-resistance.","Medium","CI run logs; action-pin/diff gates; provenance/SBOM gate; CODEOWNERS review","See security-test-plan.md (T-SC); automated regression recommended","fast-feedback.yml:478; codeql.yml:129; security-pr.yml:199; nightly-e2e.yml:110,142","CI/CD","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-SC-02","Provenance lane ecosystem-deny silently no-ops","STRIDE:Tampering/Repudiation / SSDF PW.7,RV.1 / SCVS V2","STRIDE; SSDF; SCVS","supply-chain-provenance.yml:103-104; run-ecosystem-deny-checks.sh:10-18,25-34","Repo<->CI<->prod deploy / artifact registry","Build/release artifacts, CI secrets, deploy credentials","Supply-chain attacker, malicious PR, or insider operator","Ability to land a PR, compromise an action/dep, or operator access","Vulnerable/yanked dep ships; provenance deny check passes because cargo-deny/osv-scanner not installed so script skips them.","High","Low","High","rust-sast.yml + security-pr.yml cover crates/npm-locks on PR.","cargo deny check never actually runs in CI; false assurance on provenance lane.","Medium","CI run logs; action-pin/diff gates; provenance/SBOM gate; CODEOWNERS review","See security-test-plan.md (T-SC); automated regression recommended","supply-chain-provenance.yml:103-104; run-ecosystem-deny-checks.sh:10-18,25-34","CI/CD","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-SC-03","Single CODEOWNER = no separation of duties / insider single point of compromise","STRIDE:Elevation/Repudiation / SSDF PO.2,PW.7","STRIDE; SSDF",".github/CODEOWNERS:4,18","Repo<->CI<->prod deploy / artifact registry","Build/release artifacts, CI secrets, deploy credentials","Supply-chain attacker, malicious PR, or insider operator","Ability to land a PR, compromise an action/dep, or operator access","Compromise/coercion of @Ajnunezg or a token merges malicious workflow/firestore.rules/release with self-review; CODEOWNERS owns its own .github/workflows.","High","Medium-High","High","Branch protection MAY require review (not in repo).","No second reviewer; required-reviews/checks not verifiable from code.","High","CI run logs; action-pin/diff gates; provenance/SBOM gate; CODEOWNERS review","See security-test-plan.md (T-SC); automated regression recommended",".github/CODEOWNERS:4,18","CI/CD","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-TOOL-01","External CLI agents run with no in-process policy gate","Agentic: Excessive Agency / Tool Misuse; LLM06 2025","LLM06; Agentic","CLIProcessStreamRunner / CLIArgumentBuilder","Agent<->Tools / CLI subprocess","Local shell, filesystem, granted agent capabilities","Prompt-injection adversary or malicious CLI agent runtime","An active grant (esp. workspace_write/shell/YOLO/Trusted) on the session","Granted CLI (claude/codex/droid/forge/antigravity/cursor) is spawned with capability-derived flags at CLIArgumentBuilder.swift:47-103; thereafter OpenBurnBar cannot intercept individual tool calls. A model the CLI obeys (incl. via prompt injection in workspace files/tool output) acts within the CLI's flag-granted authority.","High","Medium-High","High","Per-capability flag selection; default read-only/plan when no grant","No per-action gate, approval, or scope enforcement for the CLI lane","High under workspace/all/YOLO presets","ComputerUse audit chain; CLI process registry; grant/approval audit events","See security-test-plan.md (T-TOOL); automated regression recommended","CLIProcessStreamRunner / CLIArgumentBuilder","AgentLens (CLIBridge/ComputerUse)","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-TOOL-03","Grant revocation does not terminate in-flight CLI agent","Agentic: loss of control / kill-switch gap; STRIDE Tampering(authz drift)","STRIDE; Agentic","ChatSessionController.revokeDesktopControl / CLIProcessStreamRunner","Agent<->Tools / CLI subprocess","Local shell, filesystem, granted agent capabilities","Prompt-injection adversary or malicious CLI agent runtime","An active grant (esp. workspace_write/shell/YOLO/Trusted) on the session","revokeDesktopControl (ChatSessionController.swift:382) only flips grant-store state; the already-spawned Process keeps its YOLO/sandbox flags and runs to completion. No grantStillActive re-check on CLI lane (broker has one at OpenAICompatibleChatGatewayClient.swift:130-135).","High","Medium-High","High","AsyncStream cancellation terminates the process if the chat stream is torn down","Revoke alone != kill; expiry not re-checked mid-run by the subprocess","High for long-running YOLO CLI runs","ComputerUse audit chain; CLI process registry; grant/approval audit events","See security-test-plan.md (T-TOOL); automated regression recommended","ChatSessionController.revokeDesktopControl / CLIProcessStreamRunner","AgentLens (CLIBridge/ComputerUse)","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-TOOL-04","Panic/kill coordinator compiled out of MAS distribution build","Agentic: kill-switch availability","Agentic","ComputerUsePanicHaltCoordinator","Agent<->Tools / CLI subprocess","Local shell, filesystem, granted agent capabilities","Prompt-injection adversary or malicious CLI agent runtime","An active grant (esp. workspace_write/shell/YOLO/Trusted) on the session","Entire file guarded by #if canImport(AppKit) && !DISTRIBUTION_MAS (:1); the global hotkey, screen-lock, and remote-config kill paths are absent from the shipped MAS app.","High","Medium","High","MAS build also disables system ComputerUse lane (OpenAICompatibleChatGatewayClient.swift:223); remote-config kill switch still reachable via coordinator updateKillSwitch","Physical hotkey + lock-screen kill unavailable in MAS","Medium","ComputerUse audit chain; CLI process registry; grant/approval audit events","See security-test-plan.md (T-TOOL); automated regression recommended","ComputerUsePanicHaltCoordinator","AgentLens (CLIBridge/ComputerUse)","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-TOOL-05","CLI lane does not tag repo/tool/web content as untrusted (indirect prompt injection)","LLM01 prompt injection 2025; Agentic indirect injection","LLM01; Agentic","CLIBridge / CLIArgumentBuilder.combinedPrompt","Agent<->Tools / CLI subprocess","Local shell, filesystem, granted agent capabilities","Prompt-injection adversary or malicious CLI agent runtime","An active grant (esp. workspace_write/shell/YOLO/Trusted) on the session","combinedPrompt (:248) wraps only the chat user message in <UNTRUSTED_CONTENT>. Files, tool results, and web content the CLI agent itself ingests are never tagged and OpenBurnBar cannot interpose, so a poisoned file/output can steer a write/shell-granted agent.","High","Medium-High","High","combinedPrompt wrapping for in-app chat turns only","No untrusted-content tagging or interposition in the CLI lane","High when workspaceWrite/shell granted","ComputerUse audit chain; CLI process registry; grant/approval audit events","See security-test-plan.md (T-TOOL); automated regression recommended","CLIBridge / CLIArgumentBuilder.combinedPrompt","AgentLens (CLIBridge/ComputerUse)","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-TRN-02","Cloud-controlled inbound allowlist admits attacker or locks out owner","STRIDE:Elevation/DoS; Agentic:authz-bypass","STRIDE; Agentic","FirestoreIrohInboundPeerAllowlist + host accept gate","Device<->Device iroh / relay / Firestore fallback","iroh control channel; transport metadata (NodeIds, IPs, timing)","Malicious cloud/admin or relay operator","Control of the Firestore pairing directory / relay, OR network position","Allowlist read from iroh_pairing/{conn}/controllers/* in Firestore (FirestoreIrohInboundPeerAllowlist.swift:16-29); cloud/admin injecting a controllers/{attackerNodeId} doc adds attacker to Mac accept set (HermesIrohRelayHostClient.swift:292); deleting docs DoSes the owner","High","Low","High","controller docs callable-gated firestore.rules:2774; default-deny empty set; per-peer purge HermesIrohRelayHostClient.swift:430; downstream PhoneControlAuthorityValidator + E2E still gate control actions","No local/out-of-band confirmation of allowlist membership; transport admission is cloud-authoritative","Admitted attacker reaches request handler but is blocked by app-layer authority; main impact handler reachability + DoS","iroh_fallback_to_wss / fallback-rate audit events; pairing-key change audit","See security-test-plan.md (T-TRN); automated regression recommended","FirestoreIrohInboundPeerAllowlist + host accept gate","Transport (iroh)","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-TRN-03","Attacker-induced silent downgrade iroh->Firestore","STRIDE:Tampering/DoS; Agentic:forced-path/observability-evasion","STRIDE; Agentic","HermesCompositeRelayTransport","Device<->Device iroh / relay / Firestore fallback","iroh control channel; transport metadata (NodeIds, IPs, timing)","Malicious cloud/admin or relay operator","Control of the Firestore pairing directory / relay, OR network position","On-path adversary or relay drops/blackholes iroh dials; for any op except .chatCompletions the cascade silently falls back to Firestore long-poll (HermesCompositeRelayTransport.swift:64,108), a cloud-mediated path exposing more timing/size/connection metadata and removing P2P directness","High","Low","High","selected-model chat hard-fails (:119-121,126-132); each fallback audited (:134-148); Firestore payloads remain E2E-sealed","Control-plane + CLI streams fall back automatically; attacker can cheaply force the more-observable path; no in-code fallback-rate alarm","Metadata exposure + degraded P2P guarantees, not payload disclosure","iroh_fallback_to_wss / fallback-rate audit events; pairing-key change audit","See security-test-plan.md (T-TRN); automated regression recommended","HermesCompositeRelayTransport","Transport (iroh)","P1 (should-fix before launch)","HIGH — prioritize for audit"
"T-AI-03","Memory/RAG poisoning via parsed third-party agent logs","OWASP LLM08 / Agentic memory poisoning / MITRE ATLAS AML.T0070","ATLAS; LLM08; OWASP LLM; Agentic","LogParser/* + SearchService+Retrieval","Untrusted content (RAG/tool/web/log)<->model context","Agent context/memory; downstream tool-call decisions","Indirect prompt-injection adversary (content author)","Attacker controls text that enters an active agent's context","Third-party content makes a coding agent emit attacker text into its CLI log -> parsers ingest with no provenance/trust tier (LogParserProtocol.swift ConversationRecord) -> enters RAG corpus, persists, retrieved in later sessions.","Medium","Medium","Medium","Retrieval output wrapped at formatPack.","No write-time validation, no provenance trust tier, no poisoned-chunk quarantine/deletion; also reaches model unwrapped via oracle path (T-AI-02).","Durable cross-session influence on agent behavior.","Provenance-wrap coverage gaps; tool-loop audit; oracle/RAG source tagging (missing)","See security-test-plan.md (T-AI); automated regression recommended","LogParser/* + SearchService+Retrieval","AgentLens (Context/Chat)","P2 (important hardening)","Standard"
"T-AI-04","Browser SSRF via redirect / JS-nav / click after validated goto, and DNS rebinding","OWASP LLM01 / SSRF / MITRE ATLAS","ATLAS; LLM01; OWASP LLM","ComputerUseRunCoordinator / OpenBurnBarPlaywrightDriver","Untrusted content (RAG/tool/web/log)<->model context","Agent context/memory; downstream tool-call decisions","Indirect prompt-injection adversary (content author)","Attacker controls text that enters an active agent's context","Agent goto a public host that 302/meta-refresh/JS-redirects to http://169.254.169.254/, or a public hostname resolving to a private IP, or browser_click an internal link; then browser_extract returns the body into context. PlaywrightDriver.swift:241 goto forwards URL with no post-navigation host re-check.","Medium","Medium","Medium","OpenBurnBarBrowserTargetPolicy.validatedURL on initial goto URL (ComputerUseRunCoordinator.swift:785).","No per-navigation/redirect re-validation; no resolved-IP (post-DNS) enforcement; click/JS nav unbounded.","Internal/cloud-metadata exfiltration into model context (extract output is wrapped, limiting injection but not data exfiltration).","Provenance-wrap coverage gaps; tool-loop audit; oracle/RAG source tagging (missing)","See security-test-plan.md (T-AI); automated regression recommended","ComputerUseRunCoordinator / OpenBurnBarPlaywrightDriver","AgentLens (Context/Chat)","P2 (important hardening)","Standard"
"T-AI-06","No content-level secret redaction before sending prompts to model providers","OWASP LLM02 Sensitive Information Disclosure","LLM02; OWASP LLM","Chat prompt assembly / provider calls","Untrusted content (RAG/tool/web/log)<->model context","Agent context/memory; downstream tool-call decisions","Indirect prompt-injection adversary (content author)","Attacker controls text that enters an active agent's context","Focus transcript / RAG snippet / file read containing API keys or tokens is wrapped (as untrusted) but transmitted verbatim to the model provider (local gateway, or OpenRouter for insights).","Medium","Medium","Medium","Insights path sends digest only; CLILaunchRedactor exists for log display (CLIProfileStreamFailoverRunner.swift:260) but not prompt payload.","Chat path sends raw secrets; no zero-retention/no-train header asserted in code.","Secret leakage to provider plus provider retention (UNKNOWN, deployment-dependent).","Provenance-wrap coverage gaps; tool-loop audit; oracle/RAG source tagging (missing)","See security-test-plan.md (T-AI); automated regression recommended","Chat prompt assembly / provider calls","AgentLens (Context/Chat)","P2 (important hardening)","Standard"
